epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,189.294,1.39761,0.83687,1.38646,0.86718,0.79838,0.82077,0.43613,1.77174,0.99206,1.86888,0.0006205,0.0006205,0.0006205
25,195.37,1.38407,0.84196,1.39668,0.82369,0.82032,0.84636,0.41568,1.80152,0.96128,1.88402,0.000604,0.000604,0.000604
26,201.474,1.39169,0.83082,1.36608,0.81468,0.76555,0.79194,0.43664,1.75286,0.99793,1.85694,0.0005875,0.0005875,0.0005875
27,206.377,1.29806,0.79305,1.35649,0.79151,0.78376,0.79877,0.42153,1.76986,0.98697,1.86115,0.000571,0.000571,0.000571
28,213.836,1.37669,0.8303,1.36966,0.74899,0.75379,0.7742,0.37067,1.89264,1.0649,1.98309,0.0005545,0.0005545,0.0005545
29,218.716,1.36107,0.80169,1.34111,0.77612,0.77409,0.77915,0.39096,1.86394,1.04716,1.95322,0.000538,0.000538,0.000538
30,225.192,1.33685,0.79026,1.36032,0.84661,0.74172,0.78883,0.39164,1.84455,1.02798,1.91437,0.0005215,0.0005215,0.0005215
31,231.113,1.30068,0.79773,1.31083,0.7591,0.7818,0.76604,0.40745,1.81117,1.00848,1.88453,0.000505,0.000505,0.000505
32,238.104,1.26886,0.74673,1.31865,0.82939,0.80731,0.83624,0.42417,1.83905,1.07701,1.8841,0.0004885,0.0004885,0.0004885
33,243.854,1.28765,0.7466,1.31512,0.82004,0.85672,0.85389,0.41173,1.84212,1.02425,1.95881,0.000472,0.000472,0.000472
34,250.6,1.23926,0.72521,1.2894,0.87889,0.83606,0.84879,0.43106,1.83952,1.03849,1.91381,0.0004555,0.0004555,0.0004555
35,256.332,1.25561,0.7197,1.2838,0.84466,0.80066,0.82413,0.4108,1.96905,1.00201,2.02264,0.000439,0.000439,0.000439
36,263.086,1.24535,0.74283,1.31701,0.82708,0.81444,0.80919,0.39966,1.92026,0.99878,1.99634,0.0004225,0.0004225,0.0004225
37,268.093,1.26804,0.72852,1.29164,0.81087,0.75487,0.78504,0.40198,1.92069,1.01804,1.99656,0.000406,0.000406,0.000406
38,275.138,1.21997,0.7174,1.26526,0.80614,0.80535,0.8049,0.38554,1.92798,0.98927,2.0417,0.0003895,0.0003895,0.0003895
39,280.675,1.21339,0.71962,1.28892,0.75412,0.79849,0.75689,0.39006,1.92727,0.96195,2.03392,0.000373,0.000373,0.000373
40,286.277,1.23771,0.71911,1.24379,0.78654,0.82662,0.82524,0.4238,1.84501,0.93592,1.93139,0.0003565,0.0003565,0.0003565
41,291.879,1.21342,0.70026,1.2227,0.82401,0.77438,0.80943,0.42189,1.8226,0.93163,1.94421,0.00034,0.00034,0.00034
42,298.119,1.24257,0.69451,1.24058,0.80474,0.80612,0.7984,0.41467,1.86357,0.89239,1.98416,0.0003235,0.0003235,0.0003235
43,304.056,1.18528,0.68234,1.23751,0.80922,0.83395,0.82168,0.43827,1.8343,0.9038,1.95252,0.000307,0.000307,0.000307
44,310.642,1.20643,0.68632,1.25838,0.82905,0.81903,0.80614,0.41587,1.82364,0.91411,1.93407,0.0002905,0.0002905,0.0002905
45,317.253,1.08729,0.64337,1.2131,0.75205,0.84636,0.80638,0.40235,1.86285,0.97408,1.94148,0.000274,0.000274,0.000274
46,322.993,1.1062,0.64178,1.21792,0.80888,0.82358,0.80814,0.38554,1.87957,0.99346,1.95411,0.0002575,0.0002575,0.0002575
47,330.529,1.13119,0.65194,1.18142,0.81209,0.82654,0.80503,0.40128,1.88495,1.0007,1.96189,0.000241,0.000241,0.000241
48,336.253,1.06631,0.61008,1.20149,0.78671,0.83349,0.79394,0.39287,1.87791,1.00083,1.97372,0.0002245,0.0002245,0.0002245
49,342.059,1.06497,0.61676,1.18183,0.73699,0.85293,0.78852,0.40235,1.86929,1.00836,1.97108,0.000208,0.000208,0.000208
50,348.071,1.07281,0.61898,1.18385,0.72519,0.81586,0.76276,0.38835,1.86616,1.01226,1.96741,0.0001915,0.0001915,0.0001915
51,372.164,1.04277,0.59771,1.19532,0.75151,0.77099,0.754,0.39859,1.91557,1.01037,2.00909,0.000175,0.000175,0.000175
52,383.345,1.02782,0.55203,1.16531,0.77196,0.79542,0.78375,0.40085,1.97135,1.00856,2.04791,0.0001585,0.0001585,0.0001585
53,391.776,1.00453,0.53373,1.14956,0.77627,0.80089,0.80133,0.42033,1.92161,0.99354,2.02118,0.000142,0.000142,0.000142
54,398.68,0.98351,0.57472,1.16037,0.7896,0.80825,0.80196,0.42185,1.89238,0.98511,2.00786,0.0001255,0.0001255,0.0001255
55,404.959,0.94753,0.5293,1.14392,0.83316,0.81064,0.8284,0.42609,1.8581,0.94703,1.97588,0.000109,0.000109,0.000109
56,411.211,0.95389,0.52106,1.14717,0.89594,0.78836,0.83756,0.43168,1.84309,0.94775,1.93547,9.25e-05,9.25e-05,9.25e-05
57,416.538,0.91525,0.5002,1.13161,0.88149,0.78868,0.83423,0.42791,1.84377,0.97559,1.93637,7.6e-05,7.6e-05,7.6e-05
58,423.326,0.91708,0.5163,1.12886,0.85232,0.7984,0.83369,0.42754,1.83536,0.96402,1.93549,5.95e-05,5.95e-05,5.95e-05
59,429.075,0.92401,0.50899,1.14019,0.81113,0.84328,0.83823,0.4377,1.81919,0.94351,1.9336,4.3e-05,4.3e-05,4.3e-05
60,434.711,0.8914,0.49403,1.10703,0.80054,0.82802,0.81202,0.42921,1.82289,0.9218,1.94922,2.65e-05,2.65e-05,2.65e-05
